# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 5814941209
#
# Overhead  Command     Shared Object      Symbol                                     
# ........  ..........  .................  ...........................................
#
    71.38%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     3.24%  python3.10  python3.10         [.] 0x0000000000121590
     2.73%  python3.10  python3.10         [.] 0x000000000012161a
     1.57%  python3.10  python3.10         [.] 0x00000000001215c4
     1.30%  python3.10  python3.10         [.] 0x0000000000121605
     0.87%  python3.10  python3.10         [.] 0x0000000000121613
     0.81%  python3.10  python3.10         [.] 0x0000000000121730
     0.67%  :1965629    python3.10         [.] _PyEval_EvalFrameDefault
     0.67%  python3.10  python3.10         [.] 0x0000000000121676
     0.64%  python3.10  python3.10         [.] 0x0000000000121737
     0.63%  python3.10  python3.10         [.] 0x000000000012159b
     0.61%  python3.10  python3.10         [.] 0x00000000001215f2
     0.58%  python3.10  python3.10         [.] 0x000000000012160b
     0.55%  :1965685    python3.10         [.] _PyEval_EvalFrameDefault
     0.55%  :1965735    python3.10         [.] _PyEval_EvalFrameDefault
     0.54%  python3.10  python3.10         [.] 0x00000000001215a3
     0.52%  :1965354    python3.10         [.] _PyEval_EvalFrameDefault
     0.49%  :1965750    python3.10         [.] _PyEval_EvalFrameDefault
     0.49%  python3.10  python3.10         [.] 0x0000000000121596
     0.47%  python3.10  python3.10         [.] 0x00000000001215f7
     0.47%  :1965654    python3.10         [.] _PyEval_EvalFrameDefault
     0.44%  :1965433    python3.10         [.] _PyEval_EvalFrameDefault
     0.44%  :1965396    python3.10         [.] _PyEval_EvalFrameDefault
     0.41%  python3.10  python3.10         [.] 0x00000000001215ab
     0.40%  python3.10  python3.10         [.] 0x00000000001215cb
     0.36%  python3.10  python3.10         [.] 0x000000000012167d
     0.35%  :1965520    python3.10         [.] _PyEval_EvalFrameDefault
     0.33%  python3.10  python3.10         [.] 0x00000000001215e5
     0.32%  :1965472    python3.10         [.] _PyEval_EvalFrameDefault
     0.30%  python3.10  python3.10         [.] 0x00000000001215dc
     0.25%  python3.10  python3.10         [.] 0x0000000000121679
     0.22%  python3.10  python3.10         [.] 0x00000000001215a7
     0.20%  python3.10  python3.10         [.] 0x00000000001215e2
     0.20%  python3.10  python3.10         [.] 0x0000000000121600
     0.19%  python3.10  python3.10         [.] 0x00000000001215e9
     0.15%  python3.10  python3.10         [.] 0x00000000001215d8
     0.13%  python3.10  python3.10         [.] 0x000000000012167b
     0.13%  python3.10  python3.10         [.] 0x00000000001215bc
     0.13%  python3.10  python3.10         [.] 0x000000000012160f
     0.12%  python3.10  python3.10         [.] 0x0000000000121616
     0.08%  :1965629    python3.10         [.] 0x0000000000121590
     0.08%  python3.10  python3.10         [.] 0x000000000012159d
     0.07%  python3.10  python3.10         [.] 0x0000000000121594
     0.07%  python3.10  python3.10         [.] 0x0000000000121677
     0.07%  python3.10  python3.10         [.] 0x00000000001215a2
     0.06%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.06%  python3.10  python3.10         [.] 0x0000000000121599
     0.06%  python3.10  python3.10         [.] 0x00000000001215c0
     0.06%  python3.10  python3.10         [.] 0x000000000012167f
     0.05%  python3.10  [kernel.kallsyms]  [k] kfree
     0.05%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_se
     0.05%  python3.10  [kernel.kallsyms]  [k] error_entry
     0.05%  python3.10  python3.10         [.] 0x000000000012166e
     0.05%  python3.10  [kernel.kallsyms]  [k] update_load_avg
     0.05%  python3.10  [kernel.kallsyms]  [k] native_write_msr
     0.05%  python3.10  [kernel.kallsyms]  [k] merge_sched_in
     0.05%  python3.10  [kernel.kallsyms]  [k] rb_next
     0.04%  python3.10  [kernel.kallsyms]  [k] psi_task_switch
     0.04%  :1965520    python3.10         [.] 0x0000000000121590
     0.04%  python3.10  [kernel.kallsyms]  [k] memset_erms
