Session ID,CS ID,Timestamp,Authentication,Installation,Type,Date_Time
5e7e9a9bf9af8b1be143ed87,2-39-83-387,fresh,True,True,normal,2023-01-17 03:21:14.433261
5e6c25c3f9af8b3cc2917732,2-39-83-387,fresh,True,True,normal,2023-01-17 03:21:14.491512
5dd88bb1f9af8b7afc4cf5f1,2-39-139-567,fresh,True,True,normal,2023-01-17 03:21:14.598719
5d954125f9af8b4500d3bc5b,2-39-139-567,fresh,True,True,normal,2023-01-17 03:21:14.683749
5de074b6f9af8b2f030f59ed,2-39-125-559,fresh,True,True,normal,2023-01-17 03:21:14.483893
5db24220f9af8b252acc2491,2-39-125-559,fresh,True,True,normal,2023-01-17 03:21:14.574045
5de1c630f9af8b33092791e2,2-39-125-559,fresh,True,True,normal,2023-01-17 03:21:14.703730
5e4de120f9af8b5cdfd6b16c,2-39-129-563,fresh,True,True,normal,2023-01-17 03:21:14.668818
5e508420f9af8b64d037c51a,2-39-129-563,fresh,True,True,normal,2023-01-17 03:21:14.747716
5e34d4b6f9af8b3c2f4e4330,2-39-129-563,fresh,True,True,normal,2023-01-17 03:21:14.778363
5dbcce22f9af8b61e26b1f02,2-39-129-563,fresh,True,True,normal,2023-01-17 03:21:14.909159
5e4de120f9af8b5cdfd6b16c,2-39-129-563,old,False,False,attack,2023-01-17 03:21:14.967721
5dc616b2f9af8b05a3aba374,2-39-131-565,fresh,True,True,normal,2023-01-17 03:21:14.527741
5d97e41ff9af8b4d3988f068,2-39-131-565,fresh,True,True,normal,2023-01-17 03:21:14.623873
5dfc2430f9af8b453a35ea96,2-39-131-565,fresh,True,True,normal,2023-01-17 03:21:14.788787
5deb00aff9af8b098c54c3fe,2-39-131-565,fresh,True,True,normal,2023-01-17 03:21:14.892859
5dc616b2f9af8b05a3aba374,2-39-131-565,old,False,False,attack,2023-01-17 03:21:15.017773
5dd3459df9af8b31be642334,2-39-138-566,fresh,True,True,normal,2023-01-17 03:21:14.445019
5dc8b9b1f9af8b0d67767b28,2-39-138-566,fresh,True,True,normal,2023-01-17 03:21:14.479323
5d8ea9a3f9af8b2ead96d70c,2-39-138-566,fresh,True,True,normal,2023-01-17 03:21:14.595733
5ebb3f8cf9af8b4994d94d2d,2-39-138-566,fresh,True,True,normal,2023-01-17 03:21:14.721879
5dec5235f9af8b0d4774c438,2-39-138-566,fresh,True,True,normal,2023-01-17 03:21:14.951767
5d9692a3f9af8b492abf4926,2-39-138-566,fresh,True,True,normal,2023-01-17 03:21:15.073964
5db24220f9af8b252acc2480,2-39-138-566,fresh,True,True,normal,2023-01-17 03:21:15.274297
5dd3459df9af8b31be642334,2-39-138-566,old,False,False,attack,2023-01-17 03:21:15.420845
5e658e25f9af8b2865a5f4cc,2-39-130-564,fresh,True,True,normal,2023-01-17 03:21:15.368857
5e586d33f9af8b7dded9fe32,2-39-130-564,fresh,True,True,normal,2023-01-17 03:21:15.437159
5dc76830f9af8b0970cdde39,2-39-130-564,fresh,True,True,normal,2023-01-17 03:21:15.570583
5e9b9b8bf9af8b2186e8632f,2-39-82-384,fresh,True,True,normal,2023-01-17 03:21:15.881864
5dfd75cdf9af8b48feaa1910,2-39-127-561,fresh,True,True,normal,2023-01-17 03:21:15.822176
5d86c0a5f9af8b1022a81875,2-39-127-561,fresh,True,True,normal,2023-01-17 03:21:16.039711
5e45f835f9af8b24b31daa67,2-39-126-560,fresh,True,True,normal,2023-01-17 03:21:15.070898
5e44a6aef9af8b20e5250354,2-39-126-560,fresh,True,True,normal,2023-01-17 03:21:15.176097
5e644ab5f9af8b24613386ec,2-39-126-560,fresh,True,True,normal,2023-01-17 03:21:15.327008
5eb74b0bf9af8b3dfb27c4b4,2-39-126-560,fresh,True,True,normal,2023-01-17 03:21:15.428197
5dc4c534f9af8b0159f317d3,2-39-126-560,fresh,True,True,normal,2023-01-17 03:21:15.622648
5e45f835f9af8b24b31daa6b,2-39-126-560,fresh,True,True,normal,2023-01-17 03:21:15.835883
5e113c30f9af8b0388764bf9,2-39-126-560,fresh,True,True,normal,2023-01-17 03:21:16.076835
5e7e9a9bf9af8b1be143ed74,2-39-126-560,fresh,True,True,normal,2023-01-17 03:21:16.272018
5e72bd1bf9af8b73fde9e380,2-39-126-560,fresh,True,True,normal,2023-01-17 03:21:16.448901
5dfad2b0f9af8b417de1d5ae,2-39-126-560,fresh,True,True,normal,2023-01-17 03:21:16.760224
5e095332f9af8b6b70d5c4a6,2-39-126-560,fresh,True,True,normal,2023-01-17 03:21:16.995738
5e59beb8f9af8b02edd88362,2-39-126-560,fresh,True,True,normal,2023-01-17 03:21:17.252801
5e45f835f9af8b24b31daa67,2-39-126-560,old,False,False,attack,2023-01-17 03:21:17.520358
5e45f835f9af8b24b31daa67,2-39-126-560,old,False,False,attack,2023-01-17 03:21:17.648801
5dbe1fa1f9af8b65e9aafe7e,2-39-83-386,fresh,True,True,normal,2023-01-17 03:21:15.091731
5ea2330bf9af8b3ed07789bb,2-39-83-386,fresh,True,True,normal,2023-01-17 03:21:15.196086
5df82faff9af8b399f100e62,2-39-83-386,fresh,True,True,normal,2023-01-17 03:21:15.360814
5d954125f9af8b4500d3bc74,2-39-83-386,fresh,True,True,normal,2023-01-17 03:21:15.644192
5e72bd1bf9af8b73fde9e37a,2-39-83-386,fresh,True,True,normal,2023-01-17 03:21:15.728844
5dd345a4f9af8b31be64233f,2-39-83-386,fresh,True,True,normal,2023-01-17 03:21:15.843735
5dbb7c9df9af8b5cb6b75b63,2-39-83-386,fresh,True,True,normal,2023-01-17 03:21:15.975732
5dd73a31f9af8b76d1666b63,2-39-83-386,fresh,True,True,normal,2023-01-17 03:21:16.151219
5e45f835f9af8b24b31daa72,2-39-83-386,fresh,True,True,normal,2023-01-17 03:21:16.329007
5e3b6c1ef9af8b51c877573b,2-39-83-386,fresh,True,True,normal,2023-01-17 03:21:16.468788
5dd3459df9af8b31be642337,2-39-83-386,fresh,True,True,normal,2023-01-17 03:21:16.663834
5ddb2eb2f9af8b03f1c6a4e9,2-39-83-386,fresh,True,True,normal,2023-01-17 03:21:16.855749
5dcb5c9ff9af8b18c7d93fee,2-39-83-386,fresh,True,True,normal,2023-01-17 03:21:17.036871
5ed8408bf9af8b497367de1d,2-39-83-386,fresh,True,True,normal,2023-01-17 03:21:17.165875
5e49ecb2f9af8b304c13b362,2-39-83-386,fresh,True,True,normal,2023-01-17 03:21:17.387721
5e72bd1bf9af8b73fde9e394,2-39-83-386,fresh,True,True,normal,2023-01-17 03:21:17.475073
5dbe1fa1f9af8b65e9aafe7e,2-39-83-386,old,False,False,attack,2023-01-17 03:21:17.663845
5dbe1fa1f9af8b65e9aafe7e,2-39-83-386,old,False,False,attack,2023-01-17 03:21:17.809599
5e49ecb2f9af8b304c13b349,2-39-128-562,fresh,True,True,normal,2023-01-17 03:21:16.257294
