# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 30K of event 'cycles'
# Event count (approx.): 17325356070
#
# Overhead  Command     Shared Object      Symbol                                     
# ........  ..........  .................  ...........................................
#
    55.82%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     5.04%  python3.10  python3.10         [.] 0x000000000012161a
     4.35%  python3.10  python3.10         [.] PyObject_RichCompare
     2.68%  python3.10  python3.10         [.] 0x0000000000121590
     2.04%  python3.10  python3.10         [.] 0x0000000000179c52
     1.50%  python3.10  python3.10         [.] 0x00000000001215c4
     1.08%  python3.10  python3.10         [.] 0x0000000000121605
     1.07%  python3.10  python3.10         [.] 0x000000000015b546
     0.98%  python3.10  python3.10         [.] 0x0000000000121613
     0.96%  python3.10  python3.10         [.] 0x000000000012160b
     0.85%  python3.10  python3.10         [.] 0x0000000000121676
     0.83%  python3.10  python3.10         [.] 0x0000000000121730
     0.81%  python3.10  python3.10         [.] 0x0000000000121623
     0.70%  python3.10  python3.10         [.] 0x000000000015b537
     0.65%  python3.10  python3.10         [.] 0x000000000012159b
     0.64%  python3.10  python3.10         [.] 0x0000000000179c4e
     0.61%  python3.10  python3.10         [.] 0x0000000000121596
     0.60%  python3.10  python3.10         [.] 0x0000000000121737
     0.56%  python3.10  python3.10         [.] 0x00000000001215a3
     0.50%  python3.10  python3.10         [.] 0x00000000001215f2
     0.46%  python3.10  python3.10         [.] 0x00000000001215ab
     0.46%  python3.10  python3.10         [.] 0x00000000001215f7
     0.43%  python3.10  python3.10         [.] 0x0000000000121734
     0.42%  python3.10  python3.10         [.] 0x000000000015b506
     0.42%  python3.10  python3.10         [.] 0x0000000000121616
     0.40%  python3.10  python3.10         [.] 0x0000000000121679
     0.40%  python3.10  python3.10         [.] 0x00000000001215dc
     0.39%  python3.10  python3.10         [.] 0x000000000015b500
     0.38%  python3.10  python3.10         [.] 0x0000000000121594
     0.38%  python3.10  python3.10         [.] 0x000000000012167d
     0.38%  python3.10  python3.10         [.] 0x0000000000121628
     0.37%  python3.10  python3.10         [.] 0x000000000015b541
     0.37%  python3.10  python3.10         [.] 0x0000000000179be0
     0.36%  python3.10  python3.10         [.] 0x0000000000121635
     0.36%  python3.10  python3.10         [.] 0x0000000000121653
     0.32%  python3.10  python3.10         [.] 0x000000000012160f
     0.31%  python3.10  python3.10         [.] 0x0000000000179be6
     0.28%  python3.10  python3.10         [.] 0x0000000000121638
     0.27%  python3.10  python3.10         [.] 0x000000000015b53b
     0.26%  python3.10  python3.10         [.] 0x0000000000179c56
     0.26%  python3.10  python3.10         [.] 0x0000000000121667
     0.26%  python3.10  python3.10         [.] 0x0000000000121600
     0.26%  python3.10  python3.10         [.] 0x00000000001215a7
     0.25%  python3.10  python3.10         [.] 0x00000000001215e9
     0.24%  python3.10  python3.10         [.] 0x00000000001215cb
     0.24%  python3.10  python3.10         [.] 0x000000000012159d
     0.22%  python3.10  python3.10         [.] 0x0000000000173d50
     0.21%  python3.10  python3.10         [.] 0x00000000001215bc
     0.20%  python3.10  python3.10         [.] 0x000000000015b504
     0.19%  python3.10  python3.10         [.] 0x000000000015b554
