# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 82K of event 'cycles'
# Event count (approx.): 38837669601
#
# Overhead  Command     Shared Object                             Symbol                                        
# ........  ..........  ........................................  ..............................................
#
    83.56%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     1.74%  python3.10  python3.10                                [.] 0x000000000012161a
     0.77%  python3.10  python3.10                                [.] 0x0000000000121590
     0.59%  python3.10  python3.10                                [.] 0x0000000000121676
     0.50%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.49%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.44%  python3.10  python3.10                                [.] 0x0000000000121596
     0.42%  python3.10  python3.10                                [.] 0x0000000000121605
     0.41%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.38%  python3.10  python3.10                                [.] 0x0000000000121730
     0.37%  python3.10  python3.10                                [.] 0x000000000012159b
     0.37%  python3.10  python3.10                                [.] 0x0000000000121613
     0.36%  python3.10  python3.10                                [.] 0x0000000000121737
     0.35%  python3.10  python3.10                                [.] 0x0000000000121679
     0.26%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.25%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.25%  python3.10  python3.10                                [.] 0x000000000012160b
     0.24%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.23%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.21%  python3.10  python3.10                                [.] 0x000000000012159d
     0.19%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.17%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.17%  python3.10  python3.10                                [.] 0x000000000012167d
     0.16%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.16%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.15%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.15%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.12%  python3.10  python3.10                                [.] 0x0000000000121616
     0.11%  python3.10  python3.10                                [.] 0x000000000012167b
     0.11%  python3.10  python3.10                                [.] 0x000000000012160f
     0.10%  :2336995    python3.10                                [.] _PyEval_EvalFrameDefault
     0.09%  :2337164    python3.10                                [.] _PyEval_EvalFrameDefault
     0.09%  :2336970    python3.10                                [.] _PyEval_EvalFrameDefault
     0.08%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.08%  python3.10  python3.10                                [.] 0x0000000000121594
     0.08%  :2337088    python3.10                                [.] _PyEval_EvalFrameDefault
     0.08%  :2337040    python3.10                                [.] _PyEval_EvalFrameDefault
     0.08%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.08%  :2336838    python3.10                                [.] _PyEval_EvalFrameDefault
     0.07%  :2337332    python3.10                                [.] _PyEval_EvalFrameDefault
     0.07%  :2337128    python3.10                                [.] _PyEval_EvalFrameDefault
     0.07%  :2337188    python3.10                                [.] _PyEval_EvalFrameDefault
     0.07%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.07%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.06%  python3.10  python3.10                                [.] 0x0000000000121599
     0.06%  :2337352    python3.10                                [.] _PyEval_EvalFrameDefault
     0.06%  python3.10  python3.10                                [.] 0x0000000000121600
     0.06%  python3.10  python3.10                                [.] 0x000000000012167f
     0.06%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.06%  python3.10  python3.10                                [.] 0x0000000000121677
     0.05%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.05%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.05%  :2336925    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  :2337258    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  :2336891    python3.10                                [.] _PyEval_EvalFrameDefault
     0.04%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.04%  :2337215    python3.10                                [.] _PyEval_EvalFrameDefault
     0.04%  python3.10  python3.10                                [.] 0x00000000001215a0
     0.04%  python3.10  [kernel.kallsyms]                         [k] perf_event_alloc
     0.04%  python3.10  [kernel.kallsyms]                         [k] error_entry
     0.04%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.04%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.04%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.04%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.04%  python3.10  python3.10                                [.] 0x00000000001215a6
     0.04%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.03%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.03%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.03%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.03%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.03%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.03%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.03%  python3.10  python3.10                                [.] PyList_Append
     0.03%  python3.10  python3.10                                [.] 0x00000000001215b2
     0.03%  python3.10  [kernel.kallsyms]                         [k] native_read_msr
     0.03%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.03%  python3.10  [kernel.kallsyms]                         [k] sync_regs
     0.03%  python3.10  [kernel.kallsyms]                         [k] zap_pte_range
     0.03%  python3.10  [kernel.kallsyms]                         [k] asm_sysvec_apic_timer_interrupt
     0.03%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.02%  python3.10  [kernel.kallsyms]                         [k] kfree
     0.02%  python3.10  python3.10                                [.] 0x000000000012166e
     0.02%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.02%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.02%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.02%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.02%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.02%  python3.10  python3.10                                [.] 0x00000000001215c0
     0.02%  python3.10  [kernel.kallsyms]                         [k] psi_task_change
     0.02%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.02%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.02%  python3.10  [kernel.kallsyms]                         [k] rb_insert_color
     0.02%  python3.10  [kernel.kallsyms]                         [k] perf_log_itrace_start
     0.02%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.02%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.02%  python3.10  [kernel.kallsyms]                         [k] native_write_msr_safe
     0.02%  python3.10  libc.so.6                                 [.] __strncat_ssse3
     0.02%  python3.10  python3.10                                [.] 0x00000000001215df
     0.02%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.02%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.02%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock_irqsave
     0.02%  python3.10  [kernel.kallsyms]                         [k] inherit_event.constprop.0
     0.02%  python3.10  [kernel.kallsyms]                         [k] futex_wake
     0.02%  python3.10  python3.10                                [.] _PyObject_GenericSetAttrWithDict
     0.02%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.02%  python3.10  [kernel.kallsyms]                         [k] psi_task_switch
     0.02%  python3.10  python3.10                                [.] 0x000000000015effa
     0.02%  python3.10  [kernel.kallsyms]                         [k] iterate_groups
     0.02%  python3.10  [kernel.kallsyms]                         [k] slab_free_freelist_hook.constprop.0
     0.02%  python3.10  [kernel.kallsyms]                         [k] rb_erase
     0.02%  python3.10  [kernel.kallsyms]                         [k] __get_user_8
     0.02%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_insert
     0.02%  python3.10  [kernel.kallsyms]                         [k] put_prev_entity
     0.02%  python3.10  [kernel.kallsyms]                         [k] try_to_wake_up
     0.01%  python3.10  [kernel.kallsyms]                         [k] __calc_delta
     0.01%  python3.10  python3.10                                [.] 0x00000000001215c8
     0.01%  python3.10  python3.10                                [.] _PyFunction_Vectorcall
     0.01%  python3.10  [kernel.kallsyms]                         [k] lapic_next_deadline
     0.01%  python3.10  [kernel.kallsyms]                         [k] __irqentry_text_end
     0.01%  python3.10  python3.10                                [.] PyObject_GetAttr
     0.01%  python3.10  [kernel.kallsyms]                         [k] read_tsc
     0.01%  python3.10  [kernel.kallsyms]                         [k] exit_to_user_mode_prepare
     0.01%  python3.10  [kernel.kallsyms]                         [k] x86_pmu_event_init
     0.01%  python3.10  [kernel.kallsyms]                         [k] ctx_sched_in
     0.01%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_cfs_rq
     0.01%  python3.10  python3.10                                [.] 0x00000000001795fe
     0.01%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.01%  python3.10  python3.10                                [.] PyLong_FromString
