# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 4576422903
#
# Overhead  Command     Shared Object         Symbol                                      
# ........  ..........  ....................  ............................................
#
    72.93%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     2.52%  python3.10  python3.10            [.] 0x000000000012161a
     1.16%  python3.10  python3.10            [.] 0x0000000000121590
     1.02%  python3.10  python3.10            [.] 0x0000000000121676
     0.89%  python3.10  python3.10            [.] 0x0000000000121596
     0.84%  python3.10  python3.10            [.] 0x00000000001215f7
     0.80%  python3.10  python3.10            [.] 0x00000000001215f2
     0.71%  python3.10  python3.10            [.] 0x0000000000121730
     0.70%  python3.10  python3.10            [.] 0x000000000012159b
     0.67%  :1600848    python3.10            [.] _PyEval_EvalFrameDefault
     0.64%  :1600773    python3.10            [.] _PyEval_EvalFrameDefault
     0.63%  python3.10  python3.10            [.] 0x0000000000121605
     0.62%  :1600815    python3.10            [.] _PyEval_EvalFrameDefault
     0.61%  python3.10  python3.10            [.] 0x0000000000121613
     0.54%  python3.10  python3.10            [.] 0x0000000000121679
     0.53%  :1600999    python3.10            [.] _PyEval_EvalFrameDefault
     0.53%  :1600970    python3.10            [.] _PyEval_EvalFrameDefault
     0.52%  python3.10  python3.10            [.] 0x0000000000121737
     0.51%  :1600886    python3.10            [.] _PyEval_EvalFrameDefault
     0.51%  :1601042    python3.10            [.] _PyEval_EvalFrameDefault
     0.50%  python3.10  python3.10            [.] 0x00000000001215a7
     0.48%  python3.10  python3.10            [.] 0x000000000012159d
     0.47%  python3.10  python3.10            [.] 0x00000000001215a3
     0.45%  python3.10  python3.10            [.] 0x000000000012160b
     0.44%  python3.10  python3.10            [.] 0x00000000001215bc
     0.40%  python3.10  python3.10            [.] 0x00000000001215c4
     0.38%  python3.10  python3.10            [.] 0x00000000001215a2
     0.36%  python3.10  python3.10            [.] 0x00000000001215cb
     0.36%  :1600733    python3.10            [.] _PyEval_EvalFrameDefault
     0.35%  python3.10  python3.10            [.] 0x00000000001215e9
     0.33%  python3.10  python3.10            [.] 0x00000000001215dc
     0.31%  python3.10  python3.10            [.] 0x000000000012167d
     0.30%  python3.10  python3.10            [.] 0x00000000001215e2
     0.27%  python3.10  python3.10            [.] 0x000000000012160f
     0.27%  :1600926    python3.10            [.] _PyEval_EvalFrameDefault
     0.24%  python3.10  python3.10            [.] 0x00000000001215ab
     0.24%  python3.10  python3.10            [.] 0x0000000000121616
     0.19%  python3.10  python3.10            [.] 0x00000000001215e5
     0.19%  python3.10  python3.10            [.] 0x0000000000121599
     0.18%  python3.10  python3.10            [.] 0x000000000012167b
     0.15%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.13%  python3.10  python3.10            [.] 0x0000000000121594
     0.13%  python3.10  python3.10            [.] 0x0000000000121677
     0.13%  python3.10  python3.10            [.] 0x000000000012167f
     0.09%  python3.10  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.09%  python3.10  python3.10            [.] 0x0000000000121600
     0.08%  python3.10  python3.10            [.] 0x00000000001215c0
     0.08%  python3.10  [kernel.kallsyms]     [k] perf_event_alloc
     0.08%  python3.10  python3.10            [.] 0x00000000001215c8
     0.07%  python3.10  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.07%  python3.10  python3.10            [.] 0x00000000001215a6
     0.05%  python3.10  [kernel.kallsyms]     [k] native_write_msr
     0.05%  python3.10  [kernel.kallsyms]     [k] inherit_event.constprop.0
     0.05%  python3.10  [kernel.kallsyms]     [k] try_to_wake_up
     0.05%  python3.10  [kernel.kallsyms]     [k] zap_pte_range
     0.04%  :1600848    python3.10            [.] 0x000000000012161a
     0.04%  python3.10  [kernel.kallsyms]     [k] native_read_msr
     0.04%  :1601042    python3.10            [.] 0x000000000012161a
     0.04%  python3.10  [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.04%  python3.10  libc.so.6             [.] __strncat_ssse3
     0.04%  python3.10  python3.10            [.] _PyObject_GetMethod
     0.04%  python3.10  [kernel.kallsyms]     [k] merge_sched_in
     0.04%  :1600773    python3.10            [.] 0x0000000000121596
     0.04%  python3.10  [kernel.kallsyms]     [k] __irqentry_text_end
     0.04%  python3.10  libc.so.6             [.] __GI___strncasecmp_l_sse2
     0.04%  python3.10  python3.10            [.] 0x000000000012166e
     0.04%  python3.10  [kernel.kallsyms]     [k] perf_log_itrace_start
     0.04%  python3.10  python3.10            [.] 0x00000000001215d8
     0.03%  python3.10  python3.10            [.] _PyFunction_Vectorcall
     0.03%  python3.10  [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.03%  python3.10  [kernel.kallsyms]     [k] ___slab_alloc
     0.03%  python3.10  ld-linux-x86-64.so.2  [.] _dl_check_all_versions
     0.03%  python3.10  python3.10            [.] _PyType_Lookup
     0.03%  python3.10  [kernel.kallsyms]     [k] native_sched_clock
     0.03%  python3.10  [kernel.kallsyms]     [k] memset_erms
     0.03%  python3.10  [kernel.kallsyms]     [k] event_sched_in
     0.03%  python3.10  python3.10            [.] PyObject_SetAttr
     0.03%  python3.10  [kernel.kallsyms]     [k] rb_next
     0.03%  python3.10  python3.10            [.] 0x00000000001215a0
     0.03%  :1600773    python3.10            [.] 0x000000000012161a
     0.03%  python3.10  [kernel.kallsyms]     [k] kmem_cache_alloc_node
     0.03%  :1600886    python3.10            [.] 0x00000000001215c4
     0.03%  :1600886    python3.10            [.] 0x000000000012161a
     0.03%  :1600999    python3.10            [.] 0x00000000001215f2
     0.03%  :1600815    python3.10            [.] 0x00000000001215f7
     0.03%  :1600848    python3.10            [.] 0x00000000001215f2
     0.03%  :1601042    python3.10            [.] 0x0000000000121676
     0.03%  :1600848    python3.10            [.] 0x00000000001215a2
     0.03%  :1600848    python3.10            [.] 0x00000000001215e2
     0.03%  :1600970    python3.10            [.] 0x00000000001215a7
     0.03%  python3.10  [kernel.kallsyms]     [k] prepare_task_switch
     0.03%  python3.10  [kernel.kallsyms]     [k] sync_regs
     0.03%  python3.10  [kernel.kallsyms]     [k] iterate_groups
     0.03%  :1600733    python3.10            [.] 0x0000000000121679
     0.03%  python3.10  [kernel.kallsyms]     [k] cpuacct_charge
     0.03%  :1600773    python3.10            [.] 0x0000000000121737
     0.03%  python3.10  [kernel.kallsyms]     [k] perf_event_groups_insert
     0.03%  python3.10  [kernel.kallsyms]     [k] update_load_avg
     0.02%  python3.10  [kernel.kallsyms]     [k] ttwu_queue_wakelist
     0.02%  python3.10  python3.10            [.] 0x00000000001795c3
     0.02%  python3.10  [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.02%  python3.10  [kernel.kallsyms]     [k] native_apic_msr_eoi_write
     0.02%  python3.10  [kernel.kallsyms]     [k] page_remove_rmap
     0.02%  python3.10  [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.02%  python3.10  [kernel.kallsyms]     [k] rcu_read_unlock_strict
     0.02%  python3.10  [kernel.kallsyms]     [k] visit_groups_merge.constprop.0.isra.0
     0.02%  python3.10  [kernel.kallsyms]     [k] perf_mux_hrtimer_handler
     0.02%  python3.10  [kernel.kallsyms]     [k] psi_task_switch
     0.02%  python3.10  [kernel.kallsyms]     [k] native_write_msr_safe
     0.02%  python3.10  libc.so.6             [.] ____wcstold_l_internal
     0.02%  python3.10  [kernel.kallsyms]     [k] check_preempt_wakeup
     0.02%  python3.10  python3.10            [.] 0x00000000001434c6
     0.02%  python3.10  [kernel.kallsyms]     [k] kfree
     0.02%  python3.10  [kernel.kallsyms]     [k] memcg_slab_post_alloc_hook
     0.02%  python3.10  [kernel.kallsyms]     [k] rcu_all_qs
     0.02%  python3.10  python3.10            [.] 0x00000000001566df
     0.02%  python3.10  python3.10            [.] PyUnicode_Format
     0.02%  :1600999    python3.10            [.] 0x000000000012166e
     0.02%  python3.10  python3.10            [.] 0x00000000001215b2
     0.02%  python3.10  [kernel.kallsyms]     [k] __cond_resched
     0.02%  python3.10  python3.10            [.] _PyLong_New
     0.02%  python3.10  python3.10            [.] 0x0000000000175d7d
     0.02%  python3.10  [kernel.kallsyms]     [k] slab_free_freelist_hook.constprop.0
     0.02%  python3.10  python3.10            [.] _PyObject_LookupSpecial
