Session ID,CS ID,Timestamp,Authentication,Installation,Type,Date_Time
5d954125f9af8b4500d3bc5b,2-39-139-567,fresh,True,True,normal,2023-01-17 03:31:09.991262
5dd88bb1f9af8b7afc4cf5f1,2-39-139-567,fresh,True,True,normal,2023-01-17 03:31:35.967713
5db24220f9af8b252acc2491,2-39-125-559,fresh,True,True,normal,2023-01-17 03:31:21.641363
5de074b6f9af8b2f030f59ed,2-39-125-559,fresh,True,True,normal,2023-01-17 03:31:39.616290
5de1c630f9af8b33092791e2,2-39-125-559,fresh,True,True,normal,2023-01-17 03:31:40.002313
5d97e41ff9af8b4d3988f068,2-39-131-565,fresh,True,True,normal,2023-01-17 03:31:10.710993
5dc616b2f9af8b05a3aba374,2-39-131-565,fresh,True,True,normal,2023-01-17 03:31:28.663133
5deb00aff9af8b098c54c3fe,2-39-131-565,fresh,True,True,normal,2023-01-17 03:31:42.929101
5dfc2430f9af8b453a35ea96,2-39-131-565,old,False,True,normal,2023-01-17 03:31:49.511728
5d86c0a5f9af8b1022a81875,2-39-127-561,fresh,True,True,normal,2023-01-17 03:31:04.379262
5dfd75cdf9af8b48feaa1910,2-39-127-561,fresh,True,True,normal,2023-01-17 03:31:50.019708
5dbcce22f9af8b61e26b1f02,2-39-129-563,fresh,True,True,normal,2023-01-17 03:31:25.352873
5e34d4b6f9af8b3c2f4e4330,2-39-129-563,fresh,True,True,normal,2023-01-17 03:32:11.663723
5e4de120f9af8b5cdfd6b16c,2-39-129-563,fresh,True,True,normal,2023-01-17 03:32:21.403726
5e508420f9af8b64d037c51a,2-39-129-563,fresh,True,True,normal,2023-01-17 03:32:22.407812
5dc76830f9af8b0970cdde39,2-39-130-564,fresh,True,True,normal,2023-01-17 03:31:28.743714
5e586d33f9af8b7dded9fe32,2-39-130-564,fresh,True,True,normal,2023-01-17 03:32:24.718534
5e658e25f9af8b2865a5f4cc,2-39-130-564,fresh,True,True,normal,2023-01-17 03:32:28.868787
5dcdffbdf9af8b220a19be99,2-39-128-562,fresh,True,True,normal,2023-01-17 03:31:32.317974
5e2cebb1f9af8b027e9a5816,2-39-128-562,fresh,True,True,normal,2023-01-17 03:32:08.798211
5e3f60b3f9af8b10c08235ef,2-39-128-562,fresh,True,True,normal,2023-01-17 03:32:16.051824
5e49ecb2f9af8b304c13b349,2-39-128-562,fresh,True,True,normal,2023-01-17 03:32:20.143735
5e59beb8f9af8b02edd8837a,2-39-128-562,fresh,True,True,normal,2023-01-17 03:32:26.307408
5e5b1034f9af8b06c4b621fb,2-39-128-562,fresh,True,True,normal,2023-01-17 03:32:26.896804
5e644ab5f9af8b2461338708,2-39-128-562,fresh,True,True,normal,2023-01-17 03:32:29.547250
5e6c25e9f9af8b3cc2917746,2-39-128-562,fresh,True,True,normal,2023-01-17 03:32:33.543240
5d9e7ba6f9af8b6114d7f9fd,2-39-123-557,fresh,True,True,normal,2023-01-17 03:31:13.171735
5da11ea0f9af8b6dc9d2826f,2-39-123-557,fresh,True,True,normal,2023-01-17 03:31:14.260857
5daa5938f9af8b0c8daeb4c1,2-39-123-557,fresh,True,True,normal,2023-01-17 03:31:17.879721
5dacfc1cf9af8b14cf641f2a,2-39-123-557,fresh,True,True,normal,2023-01-17 03:31:18.955715
5dcdffbdf9af8b220a19be93,2-39-123-557,fresh,True,True,normal,2023-01-17 03:31:31.795867
5dcdffbdf9af8b220a19be95,2-39-123-557,fresh,True,True,normal,2023-01-17 03:31:31.853937
5dcdffbdf9af8b220a19be97,2-39-123-557,fresh,True,True,normal,2023-01-17 03:31:32.001904
5dcf5132f9af8b25f7b7cd97,2-39-123-557,fresh,True,True,normal,2023-01-17 03:31:32.527719
5dd9dd36f9af8b7ec95087dd,2-39-123-557,fresh,True,True,normal,2023-01-17 03:31:36.694424
5de074b6f9af8b2f030f59df,2-39-123-557,fresh,True,True,normal,2023-01-17 03:31:39.232026
5de1c630f9af8b33092791f5,2-39-123-557,fresh,True,True,normal,2023-01-17 03:31:39.923728
5e0d47b0f9af8b76ee714702,2-39-123-557,fresh,True,True,normal,2023-01-17 03:31:56.611448
5e53271ff9af8b6cadce9b86,2-39-123-557,fresh,True,True,normal,2023-01-17 03:32:23.597861
5e59beb8f9af8b02edd88379,2-39-123-557,fresh,True,True,normal,2023-01-17 03:32:26.162953
5e658e25f9af8b2865a5f4ca,2-39-123-557,fresh,True,True,normal,2023-01-17 03:32:29.847744
5e6c259ff9af8b3cc2917710,2-39-123-557,fresh,True,True,normal,2023-01-17 03:32:32.469970
5e6c25c3f9af8b3cc2917731,2-39-123-557,fresh,True,True,normal,2023-01-17 03:32:33.059726
5e740e9ff9af8b7848854fdf,2-39-123-557,fresh,True,True,normal,2023-01-17 03:32:36.678911
5e756020f9af8b7bfd91e21a,2-39-123-557,fresh,True,True,normal,2023-01-17 03:32:37.176797
5e7954a3f9af8b090600ec69,2-39-123-557,fresh,True,True,normal,2023-01-17 03:32:38.232961
